CountyName,American Indian,Asian,Black,Hispanic,Multi-Race,Pacific Islander,White
SanJoaquin,0.004716120785548497,0.13967446319610058,0.07136943180541487,0.38864678601173297,0.03007588802061896,0.00492965684971012,0.360587653330874
SanLuisObispo,0.005140253245787206,0.030394555407166082,0.020049064725169385,0.20759287457435577,0.02219311992009168,0.001309197243053846,0.713320934884376
SanMateo,0.0015936351207372808,0.2468772096709043,0.02645817068515984,0.25402278096861725,0.03128029048519577,0.014240108071069391,0.4255278049983162
SantaBarbara,0.004401999876288929,0.046720174684995584,0.017265593099395418,0.4286192076301457,0.02005698618378398,0.0016349642483510505,0.48130107427703933
SantaClara,0.0022973079368476495,0.3197208510383624,0.023993146646916375,0.2689715117751876,0.027794542261375826,0.003601522782563186,0.353621117558747
SantaCruz,0.0038072231343616284,0.04109368615928984,0.008883841477629146,0.3205015219849792,0.025722119076380653,0.0011548521766114397,0.598836755990748
Shasta,0.02352404201681227,0.024574074155999947,0.008171006180765853,0.08395096927148019,0.03293025635124107,0.0013149821959070592,0.8255346698277937
Sierra,0.01296052513295913,0.003703713758541968,0.0015445938441353323,0.0830262328085921,0.016377969561703756,0.0006173385199830767,0.8817696263740846
Siskiyou,0.03476477603779206,0.012068912884665316,0.012295417328824105,0.10278475637529014,0.03999945368030661,0.0016032166161354061,0.7964834670769863
Solano,0.004599006971590097,0.14411204297963223,0.14380264529992046,0.2403732162859299,0.04901539171104556,0.00803538186817969,0.4100623148837021
Sonoma,0.007489525685411809,0.03718708745625196,0.014106929531834976,0.24888630377336468,0.025729742689485195,0.0030298804589311483,0.6635705304047204
Stanislaus,0.005664266796354549,0.04894529548352854,0.02563319964161152,0.4191991920471932,0.02499968751103478,0.006278786399108416,0.46927957212116905
Sutter,0.009838193038235122,0.14591389506425953,0.018344973155282933,0.28764928171779575,0.029391642862142704,0.0028920761501751895,0.5059699380121089
Tehama,0.019161746596660707,0.009958157894343454,0.005640246541912448,0.2191148612799706,0.02498003437188275,0.001024406637142652,0.7201205466780873
Trinity,0.04055070011668767,0.0070370463481413984,0.0034088973292911036,0.06954747467617446,0.040916636023637785,0.0011600178760433155,0.8373792276300243
Tulare,0.007576244585207112,0.032568211134360495,0.012578444773346796,0.6062370833191729,0.012873060088081737,0.00087755108120199,0.32728940501862896
Tuolumne,0.015082083935378974,0.009900694314236791,0.02124194414027938,0.10689835910390778,0.02352009524269732,0.0011202173424450109,0.8222366059210547
Ventura,0.002936933642187218,0.06649545324856132,0.01610658074641787,0.4027222105855258,0.02145109601040043,0.0016702074192013372,0.488617518347706
Yolo,0.0055313696981154955,0.12892893390882512,0.023973764388838192,0.30348069677150735,0.03226387766852143,0.004356371427711474,0.501464986136481
Yuba,0.017601938051404052,0.0657038319401471,0.029645924480960054,0.250172818941368,0.043326312819585995,0.0037417872522378004,0.589807386514297
