,county,restaurant,id,lat,lng,city,category name,category plural name,category short name,price,rating
1296,Sacramento,Sacramento Natural Foods Co-op,4b0586b9f964a520386b22e3,38.564475399014505,-121.47267580032347,Sacramento,Grocery Store,Grocery Stores,Grocery Store,,9.2
1297,Sacramento,Costco Food Court,4f2ae5ece4b05997ed8860ad,38.59745585050894,-121.45240223586273,Sacramento,Food Court,Food Courts,Food Court,,8.2
1298,Sacramento,Firestone Public House,4f03844577168ad29ff7a602,38.5761555466123,-121.48633934895012,Sacramento,American Restaurant,American Restaurants,American,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.5
1299,Sacramento,Mikuni,4b0586b9f964a520766b22e3,38.57770653105203,-121.48550714470004,Sacramento,Sushi Restaurant,Sushi Restaurants,Sushi,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",9.1
1300,Sacramento,Taylor's Market,4ae8d156f964a52091b221e3,38.55183321225141,-121.4887193397836,Sacramento,Grocery Store,Grocery Stores,Grocery Store,,8.9
1301,Sacramento,Bel Air,4b6dd40bf964a520ab932ce3,38.611961311146494,-121.49664593624264,Sacramento,Grocery Store,Grocery Stores,Grocery Store,,6.1
1302,Sacramento,Der Biergarten,525da2e111d2c85d205dab41,38.57408361605974,-121.4753233702737,Sacramento,Beer Garden,Beer Gardens,Beer Garden,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.5
1303,Sacramento,Cafeteria 15L,4bb4d8b0a7059521f7c91bce,38.576640878596216,-121.48743171286765,Sacramento,American Restaurant,American Restaurants,American,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.8
1304,Sacramento,Capital Hop Shop,5977bd06c4df1d06f48c9ab2,38.57983842519844,-121.4862246368718,Sacramento,Beer Bar,Beer Bars,Beer Bar,,8.1
1305,Sacramento,LowBrau,50dd25c8e4b03ac4883d4dba,38.57580432326727,-121.48041993269848,Sacramento,German Restaurant,German Restaurants,German,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.3
1306,Sacramento,Selland's Market-Café,590393270e5da82f21800932,38.56435294561363,-121.50088121534472,Sacramento,New American Restaurant,New American Restaurants,New American,"{'tier': 3, 'message': 'Expensive', 'currency': '$'}",8.5
1307,Sacramento,OBO' italian table & bar,57631a62498e6621476321c0,38.56900781554559,-121.46572419305089,Sacramento,Italian Restaurant,Italian Restaurants,Italian,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.5
1308,Sacramento,Tres Hermanas,4adb796ff964a520e32721e3,38.57394927533069,-121.47449657105874,Sacramento,Mexican Restaurant,Mexican Restaurants,Mexican,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",9.2
1309,Sacramento,Mas Taco Bar,5ab5b88304d1ae1560c3d4c6,38.569668819488314,-121.49095911772176,Sacramento,Mexican Restaurant,Mexican Restaurants,Mexican,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
1310,Sacramento,Zocalo,4b1d832ff964a5208a1124e3,38.574137316454475,-121.48377145210516,Sacramento,Mexican Restaurant,Mexican Restaurants,Mexican,"{'tier': 3, 'message': 'Expensive', 'currency': '$'}",9.0
1311,Sacramento,Iron Horse Tavern,5510a06e498ed74b3e379e3f,38.569612712103975,-121.49074242067968,Sacramento,American Restaurant,American Restaurants,American,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.7
1312,Sacramento,Ramen House RyuJin,50805ee6e4b0134247b9d776,38.567456972760695,-121.48581355251739,Sacramento,Ramen Restaurant,Ramen Restaurants,Ramen,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",7.9
1313,Sacramento,In-N-Out Burger,4b36de42f964a520973d25e3,38.59160355268878,-121.5501171854856,West Sacramento,Burger Joint,Burger Joints,Burgers,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.5
1314,Sacramento,Urban Roots Brewing & Smokehouse,5a444c558173cb3a047ae53d,38.565529878660605,-121.49403206067002,Sacramento,Brewery,Breweries,Brewery,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.6
1315,Sacramento,Kupros Craft House,4c663a7eb80abe9aaa9bcce5,38.5735296135726,-121.47964084075748,Sacramento,Bar,Bars,Bar,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.2
1316,Sacramento,Philz Coffee,596e78d06a8d8610d1cce74d,38.56881934447039,-121.48717885530492,Sacramento,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.0
1317,Sacramento,The Mill,53e01ac6498e069de50dd48e,38.57834819938206,-121.48103613845417,Sacramento,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.8
1318,Sacramento,Insight Coffee Roasters,4ed9c73e0e011b46edabdd87,38.57089650777213,-121.500239982094,Sacramento,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.6
1319,Sacramento,Old Soul Co.,4a99c08bf964a5204b3020e3,38.5749109678662,-121.48424648871013,Sacramento,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",9.2
1320,Sacramento,McDonald's,4c1f7ca48b3aa59381839d5f,38.57154701630956,-121.46680487530375,Sacramento,Fast Food Restaurant,Fast Food Restaurants,Fast Food,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",5.4
1321,Sacramento,Vic's Ice Cream,4acba0c7f964a520adc420e3,38.55011197300518,-121.50577280766629,Sacramento,Ice Cream Shop,Ice Cream Shops,Ice Cream,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.7
1322,Sacramento,Midtown's Cantina Alley,58cf3157f7f8dd6a2ddb354e,38.57468533319119,-121.4753265441256,Sacramento,Mexican Restaurant,Mexican Restaurants,Mexican,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.5
1323,Sacramento,Taco Bell,4ab33e20f964a520986d20e3,38.55893927019075,-121.48056501556928,Sacramento,Fast Food Restaurant,Fast Food Restaurants,Fast Food,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",6.1
1324,Sacramento,Rick's Dessert Diner,4ac7e61df964a52073ba20e3,38.57522846282351,-121.47446692288955,Sacramento,Dessert Shop,Dessert Shops,Desserts,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.9
1325,Sacramento,Tower Cafe,4a7f1862f964a520c9f21fe3,38.561721713356086,-121.49322865351928,Sacramento,New American Restaurant,New American Restaurants,New American,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.9
1326,San Benito,Cozy Cup Cafe,4c702978f23c76b00231e785,36.85265603853755,-121.40345688139519,Hollister,Breakfast Spot,Breakfast Spots,Breakfast,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.3
1327,San Benito,La Catrina,53b0a3be498e4c69d75d7d8d,36.8516832,-121.4018249,Hollister,Restaurant,Restaurants,Restaurant,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",7.4
1328,San Benito,Juice It Up,4bd1d6b341b9ef3b42b5fce5,36.850927,-121.400712,Hollister,Juice Bar,Juice Bars,Juice Bar,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
1329,San Benito,Heavenly Bakery Cafe & Bakery,4f8dd806e4b007e61179d0fd,36.85037528816455,-121.40196761812564,Hollister,Bakery,Bakeries,Bakery,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
1330,San Benito,Mars Hill Coffeehouse,4a70bbb7f964a52047d81fe3,36.850367038284524,-121.40240501967968,Hollister,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
1331,San Benito,Cheung Sheng Chinese Restaurant,4b5dfcdff964a520bf7729e3,36.850269,-121.401218,Hollister,Chinese Restaurant,Chinese Restaurants,Chinese,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",7.2
1332,San Benito,Jack in the Box,4cbc59b67a5d9eb0676331e9,36.853001338912776,-121.39882852778774,Hollister,Fast Food Restaurant,Fast Food Restaurants,Fast Food,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",6.5
1333,San Benito,Fisher's Delicatessen,573229b9498e7c1d02d68840,36.849886,-121.402229,Hollister,Bistro,Bistros,Bistro,,
1334,San Benito,Farm House Cafe,57fbfaf4498ee867e8f3e69b,36.849902,-121.40231,Hollister,American Restaurant,American Restaurants,American,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",
1335,San Benito,KFC,4e4e179abd4101d0d7a1fe7d,36.85456150738692,-121.39859612734648,Hollister,Fast Food Restaurant,Fast Food Restaurants,Fast Food,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",5.9
1336,San Benito,Andy's Smoothies,4e52d00362e1a3811f5dfc5a,36.854637023737844,-121.39804908815279,Hollister,Dessert Shop,Dessert Shops,Desserts,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
1337,San Benito,Miyako Sushi,4bce59fa937ca593c280ae92,36.860892779080665,-121.4011793105022,Hollister,Japanese Restaurant,Japanese Restaurants,Japanese,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.2
1338,San Benito,Ohana Shave Ice,599611fa09e2837b2f443cf3,36.848654,-121.402574,Hollister,Ice Cream Shop,Ice Cream Shops,Ice Cream,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
1339,San Benito,Valley Pizzeria,59598e5ffc9e947814ce2550,36.85075,-121.397454,Hollister,Pizza Place,Pizza Places,Pizza,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
1340,San Benito,La Villa De Jerez,4c117f39416620a14f3fd9e4,36.84633660501202,-121.4011093485352,Hollister,Mexican Restaurant,Mexican Restaurants,Mexican,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.3
1341,San Benito,7-Eleven,4c42dc897beab7137ff29555,36.8461210261896,-121.401799768209,Hollister,Convenience Store,Convenience Stores,Convenience Store,,6.2
1342,San Benito,A&W,4bb536eef562ef3b66af2e97,36.84823700091353,-121.40150018829594,Hollister,Fast Food Restaurant,Fast Food Restaurants,Fast Food,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",6.7
1343,San Benito,Fro-Yo Delite,5079d4bbe4b06fd3aa03f2ea,36.837084683576265,-121.38864461419608,Hollister,Dessert Shop,Dessert Shops,Desserts,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
1344,San Benito,El Grullense,4b627126f964a520ca472ae3,36.85289241326701,-121.41301852705428,Hollister,Mexican Restaurant,Mexican Restaurants,Mexican,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
1345,San Benito,Happy Cafe,4bbfcc81461576b0a1417932,36.858721959176165,-121.40025641733482,Hollister,Chinese Restaurant,Chinese Restaurants,Chinese,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
1346,San Benito,Los Cuates,4c3e63810596c928da4b8478,36.85967266559601,-121.40213370323181,Hollister,Latin American Restaurant,Latin American Restaurants,Latin American,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",
1347,San Benito,Running Rooster,4d02d9c22f96f04dc65a1454,36.84809400709761,-121.40239949356841,Hollister,Burger Joint,Burger Joints,Burgers,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.0
1348,San Benito,Seabrisa’,5a7f6e74da2e00425ee957cd,36.85274,-121.409267,Hollister,Seafood Restaurant,Seafood Restaurants,Seafood,"{'tier': 3, 'message': 'Expensive', 'currency': '$'}",
1349,San Benito,El Michoacano Restaurant,4c867cf651ada1cdbbaa4010,36.8535079446946,-121.42108948482796,Hollister,Mexican Restaurant,Mexican Restaurants,Mexican,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
1350,San Benito,Taco Bell,4bc9f386fb84c9b6f7fa1b3e,36.83908680789266,-121.39475627605769,Hollister,Fast Food Restaurant,Fast Food Restaurants,Fast Food,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",5.4
1351,San Benito,Jerry's of Hollister,4f323c3b19836c91c7c382f9,36.85732101836369,-121.40152256383216,Hollister,Diner,Diners,Diner,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",7.3
1352,San Benito,Nob Hill Foods,4be37957b02ec9b6d2c44fc0,36.837265580033524,-121.39110983461653,Hollister,Grocery Store,Grocery Stores,Grocery Store,,7.6
1353,San Benito,Subway,4c87fa7872b1236addc27236,36.8534199693671,-121.42035458473201,Hollister,Sandwich Place,Sandwich Places,Sandwiches,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",7.2
1354,San Benito,Mangia Italian Kitchen,56f59c65498ea853f450d5a8,36.837621,-121.388657,Hollister,Italian Restaurant,Italian Restaurants,Italian,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",
1355,San Benito,wiki wiki cafe,57cca7b1498eeafce8d25ef1,36.838866,-121.39614,Hollister,Hawaiian Restaurant,Hawaiian Restaurants,Hawaiian,,
1356,San Benito,McDonald's,4b88be4bf964a5207d0b32e3,36.83706583384734,-121.38912505427697,Hollister,Fast Food Restaurant,Fast Food Restaurants,Fast Food,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",5.9
